iter	Accuracy	MultiClass
0	0.57	1.089305129
1	0.585	1.080515329
2	0.6	1.071016387
3	0.65	1.060476642
4	0.655	1.051213647
5	0.68	1.040185461
6	0.705	1.029426058
7	0.72	1.019126334
8	0.735	1.011818643
9	0.7	1.001365779
10	0.76	0.9924414625
11	0.77	0.9830340621
12	0.77	0.9760652955
13	0.755	0.9720613374
14	0.735	0.965539492
15	0.745	0.9566923638
16	0.75	0.9480868782
17	0.73	0.94022125
18	0.74	0.9312520562
19	0.73	0.9233296297
20	0.73	0.9162030119
21	0.74	0.9099634461
22	0.75	0.9034031312
23	0.76	0.8952365114
24	0.76	0.8895304751
25	0.76	0.8860299706
26	0.755	0.8817570994
27	0.755	0.8784964829
28	0.75	0.8749777973
29	0.745	0.8735643791
30	0.755	0.8661339476
31	0.765	0.8592259889
32	0.77	0.852277785
33	0.78	0.8482175617
34	0.78	0.8444637992
35	0.795	0.8372621044
36	0.795	0.8307740953
37	0.785	0.8252678179
38	0.795	0.8216926366
39	0.8	0.8171533263
40	0.79	0.8130718836
41	0.79	0.8084732512
42	0.795	0.8046806772
43	0.775	0.799112605
44	0.79	0.7934964366
45	0.785	0.7908999142
46	0.785	0.7859957678
47	0.785	0.7826863114
48	0.78	0.7777367734
49	0.795	0.7728059965
50	0.79	0.768934137
51	0.795	0.7644747316
52	0.795	0.7644291878
53	0.79	0.7595030536
54	0.79	0.7594622671
55	0.795	0.7593950445
56	0.8	0.754369
57	0.8	0.7543040221
58	0.795	0.7501457701
59	0.8	0.7451200362
60	0.805	0.7407861799
61	0.8	0.7397871343
62	0.805	0.7367669314
63	0.805	0.7352115476
64	0.805	0.7313703362
65	0.8	0.7304681733
66	0.8	0.7304478247
67	0.81	0.7274921822
68	0.815	0.7247020838
69	0.805	0.7239119138
70	0.805	0.7202767476
71	0.805	0.7168739658
72	0.805	0.7139273145
73	0.805	0.7113902243
74	0.815	0.7067584113
75	0.81	0.7045681207
76	0.81	0.7021933941
77	0.815	0.6994523374
78	0.815	0.6945648741
79	0.815	0.6930438657
80	0.825	0.6897500691
81	0.825	0.6870126837
82	0.825	0.6865103717
83	0.82	0.6833524953
84	0.82	0.682554417
85	0.825	0.6792259819
86	0.83	0.6745180768
87	0.83	0.6702300695
88	0.83	0.6678921392
89	0.835	0.6664683732
90	0.835	0.6663923305
91	0.83	0.6615159835
92	0.83	0.6580580025
93	0.84	0.6540075179
94	0.84	0.6534549567
95	0.84	0.6511735866
96	0.84	0.6487047148
97	0.84	0.6478307346
98	0.84	0.6450631069
99	0.84	0.6416228546
100	0.85	0.6395346476
101	0.85	0.6370125882
102	0.85	0.6353530738
103	0.85	0.6334982157
104	0.85	0.6308539049
105	0.85	0.6275528831
106	0.86	0.6237264625
107	0.86	0.6200390732
108	0.86	0.6197601427
109	0.86	0.6170168834
110	0.865	0.6148027228
111	0.865	0.612074581
112	0.875	0.6088272769
113	0.875	0.6062343086
114	0.885	0.6034387151
115	0.88	0.6004824239
116	0.885	0.5968555385
117	0.89	0.5937199965
118	0.89	0.5910417787
119	0.89	0.5885541476
120	0.89	0.5875281837
121	0.89	0.5853798177
122	0.89	0.5825145748
123	0.885	0.5807387714
124	0.895	0.5780614695
125	0.9	0.5757975046
126	0.9	0.5728935738
127	0.895	0.570753003
128	0.895	0.5680250533
129	0.895	0.5662678871
130	0.9	0.5639707521
