iter	Passed	Remaining
0	153	46028
1	163	24371
2	170	16903
3	178	13228
4	185	10960
5	194	9518
6	200	8395
7	207	7556
8	214	6920
9	220	6395
10	227	5975
11	233	5611
12	240	5320
13	247	5061
14	255	4860
15	265	4717
16	279	4658
17	288	4516
18	297	4395
19	309	4335
20	317	4219
21	333	4219
22	351	4228
23	364	4191
24	380	4185
25	395	4163
26	408	4131
27	415	4040
28	424	3968
29	432	3892
30	441	3830
31	449	3760
32	458	3709
33	466	3651
34	473	3588
35	480	3523
36	487	3463
37	493	3403
38	499	3342
39	505	3288
40	513	3240
41	520	3194
42	526	3149
43	533	3101
44	539	3057
45	546	3015
46	552	2974
47	559	2935
48	565	2896
49	572	2860
50	579	2828
51	586	2795
52	592	2760
53	603	2748
54	609	2716
55	617	2688
56	623	2657
57	631	2636
58	638	2608
59	648	2592
60	654	2564
61	662	2541
62	669	2518
63	681	2514
64	689	2494
65	700	2484
66	713	2479
67	720	2457
68	730	2446
69	738	2426
70	751	2423
71	765	2422
72	772	2401
73	782	2390
74	789	2367
75	796	2347
76	803	2326
77	809	2305
78	816	2283
79	823	2263
80	830	2245
81	837	2227
82	845	2211
83	852	2191
84	858	2171
85	864	2152
86	871	2132
87	878	2116
88	885	2098
89	894	2087
90	901	2069
91	907	2051
92	913	2033
93	919	2015
94	927	2000
95	933	1983
96	939	1966
97	945	1949
98	952	1932
99	958	1917
100	965	1901
101	974	1891
102	981	1877
103	989	1864
104	995	1849
105	1002	1833
106	1008	1818
107	1014	1803
108	1021	1790
109	1028	1776
110	1038	1768
111	1045	1755
112	1055	1746
113	1062	1733
114	1074	1728
115	1081	1716
116	1093	1710
117	1105	1704
118	1111	1690
119	1122	1683
120	1129	1670
121	1139	1662
122	1145	1648
123	1152	1636
124	1159	1622
125	1169	1615
126	1178	1605
127	1185	1593
128	1192	1580
129	1198	1567
130	1204	1553
131	1210	1541
132	1217	1529
133	1223	1516
134	1229	1503
135	1236	1490
136	1242	1477
137	1250	1467
138	1256	1455
139	1262	1442
140	1268	1430
141	1275	1419
142	1282	1408
143	1288	1395
144	1294	1383
145	1300	1371
146	1306	1360
147	1316	1351
148	1322	1340
149	1331	1331
150	1338	1320
151	1344	1309
152	1350	1297
153	1358	1288
154	1365	1277
155	1372	1266
156	1378	1255
157	1385	1245
158	1392	1234
159	1401	1226
160	1408	1216
161	1416	1206
162	1425	1198
163	1434	1189
164	1447	1184
165	1454	1174
166	1469	1169
167	1486	1168
168	1504	1166
169	1511	1155
170	1518	1145
171	1525	1135
172	1531	1124
173	1538	1114
174	1544	1103
175	1552	1093
176	1560	1084
177	1567	1074
178	1573	1063
179	1579	1053
180	1587	1043
181	1593	1033
182	1600	1023
183	1607	1013
184	1615	1004
185	1623	994
186	1630	985
187	1637	975
188	1644	965
189	1653	957
190	1659	947
191	1667	938
192	1673	927
193	1681	918
194	1688	908
195	1695	899
196	1701	889
197	1708	880
198	1716	871
199	1723	861
200	1731	852
201	1739	843
202	1748	835
203	1764	830
204	1772	821
205	1780	812
206	1787	803
207	1795	794
208	1803	785
209	1811	776
210	1818	766
211	1825	757
212	1832	748
213	1839	739
214	1846	730
215	1853	720
216	1860	711
217	1868	702
218	1875	693
219	1882	684
220	1888	675
221	1896	666
222	1903	657
223	1911	648
224	1930	643
225	1956	640
226	1965	632
227	1977	624
228	1991	617
229	1999	608
230	2008	600
231	2017	591
232	2024	582
233	2031	572
234	2041	564
235	2048	555
236	2055	546
237	2062	537
238	2068	527
239	2075	518
240	2081	509
241	2087	500
242	2094	491
243	2099	481
244	2106	472
245	2112	463
246	2118	454
247	2125	445
248	2131	436
249	2138	427
250	2145	418
251	2151	409
252	2158	400
253	2164	391
254	2171	383
255	2178	374
256	2184	365
257	2191	356
258	2197	347
259	2205	339
260	2211	330
261	2218	321
262	2224	312
263	2230	304
264	2237	295
265	2243	286
266	2250	278
267	2256	269
268	2263	260
269	2269	252
270	2277	243
271	2287	235
272	2293	226
273	2301	218
274	2314	210
275	2327	202
276	2334	193
277	2345	185
278	2352	177
279	2365	168
280	2376	160
281	2383	152
282	2390	143
283	2398	135
284	2405	126
285	2412	118
286	2418	109
287	2425	101
288	2432	92
289	2438	84
290	2445	75
291	2452	67
292	2458	58
293	2468	50
294	2475	41
295	2482	33
296	2488	25
297	2494	16
298	2500	8
299	2507	0
